국가,상품플랜,가입나이,성별,최종보험료,3대비급여_MRI/MRA,3대비급여_도수·체외충격파·증식치료,3대비급여_비급여주사료,3대비급여_통합한도,사망및장해_상해사망,사망및장해_상해후유장해,사망및장해_질병사망및80%이상후유장해,일상손해_배상책임,일상손해_휴대품손해(분실제외),입원의료비_상해급여(국내),입원의료비_상해입원,입원의료비_상해질병통합,입원의료비_질병급여(국내),입원의료비_질병입원,통원의료비_상해외래,통원의료비_상해처방조제,통원의료비_질병외래,통원의료비_질병처방조제,특수리스크_구원자비용,특수리스크_항공기지연비용,특수리스크_해외상해의료비(USD),특수리스크_해외질병의료비(USD)
한국(KRW),삼성_국내여행,10,남성,12780,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_국내여행,20,남성,14010,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_국내여행,30,남성,15360,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_국내여행,40,남성,16840,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_국내여행,50,남성,18470,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_국내여행,60,남성,20250,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_국내여행,70,남성,22200,0.0,0.0,0.0,0.0,100000000.0,100000000.0,10000000.0,10000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),삼성_글로벌실손,10,남성,27890,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),삼성_글로벌실손,20,남성,31420,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),삼성_글로벌실손,30,남성,35410,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),삼성_글로벌실손,40,남성,39890,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),삼성_글로벌실손,50,남성,44950,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),삼성_글로벌실손,60,남성,50640,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),삼성_글로벌실손,70,남성,57060,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250000.0,13500000.0
한국(KRW),현대_유학생,10,남성,7940,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,100000.0,0.0,0.0
한국(KRW),현대_유학생,20,남성,9920,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,100000.0,0.0,0.0
한국(KRW),현대_유학생,30,남성,12400,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,100000.0,0.0,0.0
한국(KRW),현대_유학생,40,남성,15500,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,100000.0,0.0,0.0
